inv_date,invoice_number,account,part_number,qty,sell_price,total_sale_value,disc,cost_price,total_cost_value,profit
9/23/2015,INV7797870,ELEMERA,P809696,4,3.762,15.048,36,3.23532,12.94128,2.10672
9/23/2015,INV7797870,ELEMERA,P357042,2,7.9173,15.8346,36,6.808878,13.617756,2.216844
9/23/2015,INV7797870,ELEMERA,P504551,3,3.762,11.286,36,3.23532,9.70596,1.58004
9/23/2015,INV7797870,ELEMERA,P517396,10,3.762,37.62,36,3.23532,32.3532,5.2668
9/23/2015,INV7797870,ELEMERA,P419121,1,99.6417,99.6417,36,85.691862,85.691862,13.949838
9/23/2015,INV7797870,ELEMERA,P542150,2,4.275,8.55,36,3.6765,7.353,1.197
9/23/2015,INV7797870,ELEMERA,P941359,2,3.762,7.524,36,3.23532,6.47064,1.05336
9/23/2015,INV7797870,ELEMERA,P733663,2,2.2572,4.5144,36,1.941192,3.882384,0.632016
9/23/2015,INV7797870,ELEMERA,P107912,2,9.0117,18.0234,36,7.750062,15.500124,2.523276
9/23/2015,INV7797870,ELEMERA,P296143,2,12.7053,25.4106,36,10.926558,21.853116,3.557484
9/23/2015,INV7797870,ELEMERA,P493724,4,333.45,1333.8,36,286.767,1147.068,186.732
9/23/2015,INV7797870,ELEMERA,P349926,4,3.3858,13.5432,36,2.911788,11.647152,1.896048
9/23/2015,INV7797870,ELEMERA,P712405,2,3.2319,6.4638,36,2.779434,5.558868,0.904932
9/23/2015,INV7797870,ELEMERA,P481737,4,2.8386,11.3544,36,2.441196,9.764784,1.589616
9/23/2015,INV7797870,ELEMERA,P396034,1,3.4029,3.4029,36,2.926494,2.926494,0.476406
9/23/2015,INV7797870,ELEMERA,P405692,2,2.736,5.472,36,2.35296,4.70592,0.76608
9/23/2015,INV7797870,ELEMERA,P427012,2,3.2319,6.4638,36,2.779434,5.558868,0.904932
9/23/2015,INV7797870,ELEMERA,P894330,2,1.9836,3.9672,36,1.705896,3.411792,0.555408
9/23/2015,INV7797870,ELEMERA,P237278,2,28.215,56.43,36,24.2649,48.5298,7.9002
9/23/2015,INV7797870,ELEMERA,P171632,1,6.0021,6.0021,36,5.161806,5.161806,0.840294
9/23/2015,INV7797870,ELEMERA,P224960,1,0.342,0.342,36,0.29412,0.29412,0.04788
9/23/2015,INV7797870,ELEMERA,P606489,1,0.342,0.342,36,0.29412,0.29412,0.04788
9/23/2015,INV7797870,ELEMERA,P239085,1,1.4193,1.4193,36,1.220598,1.220598,0.198702
9/23/2015,INV7797870,ELEMERA,P366648,1,23.8545,23.8545,36,20.51487,20.51487,3.33963
9/23/2015,INV7797870,ELEMERA,P970548,1,5.9679,5.9679,36,5.132394,5.132394,0.835506
9/23/2015,INV7797870,ELEMERA,P996512,1,4.446,4.446,36,3.82356,3.82356,0.62244
9/23/2015,INV7797870,ELEMERA,P227846,1,6.9426,6.9426,36,5.970636,5.970636,0.971964
9/23/2015,INV7797870,ELEMERA,P258838,1,646.5339,646.5339,36,556.019154,556.019154,90.514746
9/23/2015,INV7797870,ELEMERA,P870434,1,1323.2664,1323.2664,36,1138.009104,1138.009104,185.257296
9/23/2015,INV7797870,ELEMERA,P677535,1,552.2445,552.2445,36,474.93027,474.93027,77.31423
10/13/2015,INV7797687,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
10/13/2015,INV7797687,ELEMERA,P774586,1,72.2988,72.2988,36,62.176968,62.176968,10.121832
10/13/2015,INV7797687,ELEMERA,P118089,1,32.6268,32.6268,36,28.059048,28.059048,4.567752
10/15/2015,INV7797655,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
10/15/2015,INV7797655,ELEMERA,P847740,1,35.2602,35.2602,36,30.323772,30.323772,4.936428
10/15/2015,INV7797655,ELEMERA,P206343,1,6.2928,6.2928,36,5.411808,5.411808,0.880992
10/15/2015,INV7797655,ELEMERA,P715622,1,3.9501,3.9501,36,3.397086,3.397086,0.553014
10/15/2015,INV7797655,ELEMERA,P350097,1,202.9257,202.9257,36,174.516102,174.516102,28.409598
10/22/2015,INV7797574,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
10/22/2015,INV7797574,ELEMERA,P253339,2,247.95,495.9,36,213.237,426.474,69.426
10/22/2015,INV7797574,ELEMERA,P206343,1,6.2928,6.2928,36,5.411808,5.411808,0.880992
10/22/2015,INV7797574,ELEMERA,P715622,1,3.9501,3.9501,36,3.397086,3.397086,0.553014
10/22/2015,INV7797574,ELEMERA,P125459,1,251.4213,251.4213,36,216.222318,216.222318,35.198982
10/27/2015,INV7797526,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
10/27/2015,INV7797526,ELEMERA,P253339,2,247.95,495.9,36,213.237,426.474,69.426
10/27/2015,INV7797526,ELEMERA,P934398,2,10.2087,20.4174,36,8.779482,17.558964,2.858436
10/27/2015,INV7797526,ELEMERA,P206343,1,6.2928,6.2928,36,5.411808,5.411808,0.880992
10/27/2015,INV7797526,ELEMERA,P715622,1,3.9501,3.9501,36,3.397086,3.397086,0.553014
10/27/2015,INV7797526,ELEMERA,P489329,1,683.9829,683.9829,36,588.225294,588.225294,95.757606
10/27/2015,INV7797526,ELEMERA,P125459,1,251.4213,251.4213,36,216.222318,216.222318,35.198982
11/20/2015,INV7797193,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
11/20/2015,INV7797193,ELEMERA,P253339,2,247.95,495.9,36,213.237,426.474,69.426
11/20/2015,INV7797193,ELEMERA,P715622,4,3.9501,15.8004,36,3.397086,13.588344,2.212056
11/20/2015,INV7797193,ELEMERA,P517396,6,3.762,22.572,36,3.23532,19.41192,3.16008
